species name,citation,o/c,repsize,nbirds,cor,significant,migrate
Acrocephalus palustris,[7],1,241,23,-0.173,0,2
Acrocephalus palustris,[8],1,241,31,-0.53,1,2
Acrocephalus schoenobaenus,[9],2,55,31,-0.385,1,2
Acrocephalus schoenobaenus,[10],2,55,10,-0.87,1,2
Agelaius phoeniceus,[13],2,18.5,49,0.169,0,2
Ficedula albicollis,[19],2,31.4,53,0.333,1,2
Ficedula hypoleuca,[21],2,28.4,50,-0.301,1,2
Hirundo rustica,[22],2,20.1,16,-0.176,1,2
Melospiza melodia,[24],1,38,72,-0.589,1,1
Melospiza melodia,[25],1,38,21,-0.124,0,1
Melospiza melodia,[22],1,38,32,-0.5711,1,1
Melospiza melodia,[29],1,38,56,-0.3,1,1
Mimus polyglottos,[30],2,216,18,-0.74,1,1
Parus caeruleus,[31],1,6.5,19,-0.462,0,0
Parus major,[33],1,7.9,32,-0.08,0,0
Phylloscopus trochilus,[38],2,35.1,62,0.003,0,2
Phylloscopus trochilus,[39],2,35.1,8,-0.69,1,2
Sturnella neglecta,[43],2,86,14,-0.53,1,2
Sturnus vulgaris,[45],2,41.95,15,-0.625,1,2
Sturnus vulgaris,[46],2,41.95,6,-0.886,1,2
Sylvia communis,[47],2,367.5,12,-0.606,1,2
