species name,citation,o/c,repsize,nbirds,cor,significant,migrate
Acrocephalus arundinaceus,[1],2,22.5,107,0.37,0,2
Acrocephalus arundinaceus,[2],2,22.5,37,0.284,1,2
Acrocephalus arundinaceus,[3],2,22.5,62,0.04,0,2
Acrocephalus palustris,[8],1,241,31,0.056,0,2
Acrocephalus schoenobaenus,[11],2,55,19,-0.304,0,2
Acrocephalus schoenobaenus,[12],2,55,10,-0.649,1,2
Agelaius phoeniceus,[13],2,18.5,49,0.396,1,2
Dendroica pensylvanica,[17],2,10.8,36,0.11,0,2
Emberiza schoeniclus,[18],1,18.15,26,-0.57,0,1
Ficedula albicollis,[20],2,31.4,16,-0.156,1,2
Hirundo rustica,[20],2,20.1,27,-0.152,1,2
Melospiza melodia,"[28,20]",1,38,28,0.122,0,1
Luscinia megarhynchos,[23],2,1160,8,0.5473,0,2
Phylloscopus fuscatus,[35],2,25.3,7,-0.161,0,2
Sturnella neglecta,[43],2,86,14,0.484,1,2
Sturnella neglecta,[44],2,86,24,0.368,1,2
Sturnus vulgaris,[46],2,41.95,10,0.699,1,2
